"!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden.","!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden."
"* Required Fields","* campo obbligatorio"
"Please enter the location of your bank.","Si prega di inserire la posizione della banca."
"Please enter the name of your bank.","Si prega di inserire il nome della banca."
"Please enter your IBAN number.","Inserisci il tuo numero IBAN."
"Please enter your issue number, if there is no CVC code on your card.","Inserisci l'issue number, se non c'é alcun codice CVC sulla carta."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se non dovesse aiutare, cambia il metodo di autorizzazione in PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Si prega di lampeggiare o disabilitare la memoria cache e riprovare. Se questo non ha aiutato, cambiare il metodo di autorizzazione per PaymentPage e <a href=""%s"" target=""_blank"">contattare sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se questo non aiuta, cambia il metodo di autorizzazione in PaymentPage e <a href=""%s"" target=""_blank"">contatta sellxed</a>."
"Please log in below:","Log in"
"Please select","Si prega di selezionare"
"Please select a shipping method before sending the order.","Seleziona un metodo di spedizione prima di inviare l'ordine."
"Please select the Bank Identifier Code (BIC) of your bank.","Seleziona il Bank Identifier Code (BIC) della  banca."
"Please select the day of your birth.","Si prega di selezionare il giorno della tua nascita."
"Please select the expiry month on your card.","Devi inserire il mese della scadenza della carta."
"Please select the expiry year on your card.","Inserisci la data di scadenza della carta."
"Please select the month of your birth.","Seleziona il mese di nascita."
"Please select the the year of your birth.","Si prega di selezionare l'anno di nascita."
"Please specify the payment method.","Please specify the payment method."
"Please wait, processing your order...","Per favore attendi, elaborando il tuo ordine..."
"Please wire the amount of <b>!amount !currency</b> to:<br />","Please wire the amount of <b>!amount !currency</b> to:<br />"
"Possible fraud detected. Currency was invalid.","Possible fraud detected. Currency was invalid."
"Possible fraud detected. Parameters send from PayPal Plus were not correct.","Una frode potenziale è stato scoperto. I parametri che sono stati inviati da PayPal Plus sono corretti."
"Possible fraud detected. Receiver id was invalid.","Possibili frodi rilevato. Il ID di ricevitore non è valido."
"Possible fraud detected. Total amount was invalid.","Possibili frodi rilevato. L'importo totale è valido."
"Possible fraud detected. Total currency was invalid.","Possibili frodi rilevato. La moneta totale non è valido."
"Postal Code entered","Postal Code entered"
"Price","Prezzo"
"Product","Prodotto"
"Product Name","Nome del prodotto"
"Profile Id","Profile Id"
"Profile Name","Profile Name"
"Purchase Point","Luogo di acquisto"
"Qty","Quantità"
"Received malformatted response from PayPal Plus","Received malformatted response from PayPal Plus"
"Received malformatted response from PayPal Plus during execution","Received malformatted response from PayPal Plus during execution"
"Received malformatted response from PayPal Plus during registration","Received malformatted response from PayPal Plus during registration"
"Recurring Payments","Pagamenti ricorrenti"
"Recurring payment","Recurring payment"
"Reference","Reference"
"Refund Amount","Importo rimborsato"
"Refund ID","ID rimborso"
"Refund amount","Importo rimborsato"
"Refund failed with unkown error.","Refund failed with unkown error."
"Refund failed. Error message is: !message.","Il rimborso non è riuscita. Il messaggio di errore è il seguente: !message."
"Refund information","Informazione sul rimborso"
"Refund status","Status rimborso"
"Refunded Amount","Importo rimborsato"
"Refunds","Crediti"
"Register","Registrarsi"
"Register to Create an Account","Iscriviti per creare un account"
"Register with us for future convenience:","Iscriviti per facilitare la tua prossima visita:"
"Release Date","Data di rilascio"
"Review","Revisione"
"Rounding Adjustment","Arrotondamenti"
"Rounding Adjustments","Rettifiche da arrotondamento"
"Routing Number","Routing Number"
"Row Total","Totale riga"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Vendite"
"Sales Tax Number","Numero tasse vendite"
"Sandbox API Password","Sandbox API Password"
"Sandbox API Signature","Sandbox API Firma"
"Sandbox API Username","Sandbox API nome utente"
"Sandbox Business E-Mail Address","Sandbox Business Indirizzo e-mail"
"Sandbox Mode","Modalità Sandbox"
"Sandbox REST API Client ID","Sandbox REST API Client ID"
"Sandbox REST API Client Secret","Sandbox REST API Client Secret"
"Save","Salva"
"Saved cards:","Carte salvate"
"See order and shipping status","Controlla l'ordine e lo stato della spedizione"
"Select Brand","Seleziona Marca"
"Select Method","Seleziona metodo"
"Select the authorization method to use for processing this payment method.","Seleziona il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento."
"Select the date of your birth.","Inserisci la data di nascita"
"Select the date on which your card expires.","Seleziona la data di scadenza della carta."
"Seller Protection","Protezione del venditore"
"Send Invoice Email","Invia la fattura per email"
"Send amounts to PayPal Plus in base currency.","Invia l'importo a PayPal Plus  in base alla valuta."
"Send amounts to PayPal Plus in store's base currency.","Invia importo a PayPal Plus  nella valuta base del negozio."
"Send invoice email","Invia la fattura via email"
"Send the invoice email automatically after invoice creation.","Invia la fattura automaticamente via email dopo averla creata."
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Per la 'Contabilizzazione diretta' l'importo viene contabilizzato direttamente dopo il pagamento completato. Per la 'Contabilizzazione ritardata' l'importo viene addebitato solo dopo un periodo di tempo definito da voi."
"Set here your e-mail address of your live account.","Inserisci l'indirizzo email del account live."
"Set the sort order to show the external checkouts.","Impostare il criterio di ordine per visualizzare i checkout esterni."
"Set up your API access in your PayPal Plus account under My Profile > Further Options > API Access > Show API pass-phrase and copy the details into the main module.","Set up your API access in your PayPal Plus account under My Profile > Further Options > API Access > Show API pass-phrase and copy the details into the main module."
"Settlement after order","Creazione dopo l'ordine"
"Setup","Setup"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Amount","Importo di spedizione"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping Methods","Metodi di spedizione"
"Shipping Refund","Rimborso della spedizione"
"Shop","Shop"
"Shopname","Shopname"
"Short Installation Instructions:","Short Installation Instructions:"
"Should transaction without seller protection marked as uncertain?","Vuoi che le transazioni senza Protezione del venditore sono contrassegnati come incerto?"
"Show","Mostra"
"Show Account Selection","Mostra la selezione dell'account"
"Show Further Settings and Information","Mostra ulteriori impostazioni e informazioni"
"Show Image","Mostra immagine"
"Show Payment Id","Mostra il Payment Id"
"Show the payment id","Mostra il payment ID"
"Show the payment id in the order information","Mostra il payment ID nell'informazione dell'ordine"
"Show the payment image","Mostra l'immagine di pagamento"
"Show the payment image on the checkout page","Mostra l'immagine di pagamento nella pagina di checkout"
"Sign In","Log in"
"Social Security Number","Social Security Number"
"Sort Order","Sort Order"
"Standard","Standard"
"State entered","State entered"
"Status","Stato"
"Status for Refused ECheck Payments","Status for Refused ECheck Payments"
"Status for Successful ECheck Payments","Status for Successful ECheck Payments"
"Status for declined payments","Status for declined payments"
"Store the payment details","Salvare i dati di pagamento"
"Stored payment details","Dettagli di pagamento memorizzate"
"Street entered","Street entered"
"Submit Order","Conferma l'ordine"
"Submitting order information...","Invio informazioni sull'ordine ..."
"Subtotal","Totale parziale"
"Success","Successo"
"Successful","Successo"
"Successful online refund of amount","Rimborso online dell'importo andato a buon fine."
"Successful payment authorization.","Pagamento autorizzato con successo."
"Successfull online refund of amount","Rimborso online dell'importo andato a buon fine."
"Support","Supporto"
"Tax Amount","Importo Tassa"
"Technical error please contact the merchant.","Technical error please contact the merchant."
"Technical issue: This payment methods is not available at the moment.","Problema tecnico: Questo metodo di pagamento non é disponibile in questo momento."
"Technical problem, please contact the merchant.","Technical problem, please contact the merchant."
"Test Mode","Test Mode"
"Test Transaction","Test per la transazione"
"The API used to communicate with PayPal Plus. Recurring payments require Express Checkout to be selected.","The API used to communicate with PayPal Plus. Recurring payments require Express Checkout to be selected."
"The Billing Agreement Failed.","L'Accordo di fatturazione non riuscita."
"The Billing Agreement was not ready.","L'accordo di fatturazione non era pronta."
"The HMAC key as defined in the live backoffice of PayPal Plus. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of PayPal Plus. You may need generate the HMAC key. Please take a look at the manual how to do this."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Lo schema mandato SEPA non contiene il tag '!tag' necessario."
"The alias could not be found.","L'alias non é stato trovato."
"The alias has been deleted.","L'alias é stato cancellato."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"The amount could not be verified.","The amount could not be verified."
"The amount of !amount is authorized.","La quantità di !amount é autorizzata."
"The amount of !amount is captured.","La quantità di !amount é registrata."
"The authorization method '!method' is not supported.","Il metodo autorizzazione '!method' non é supportato."
"The authorization was not successful","The authorization was not successful"
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"The brand with external name '!key' was not present in the map.","Il marchio con il nome esterno '!key' non era presente nella mappa."
"The brand with key '!key' was not found in the card information map.","Il marchio con la chiave !key' non é stata trovata nella mappa dati della carta."
"The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La quantità da registrare (!captureAmount) non può essere superiore all'importo autorizzato (!authorizedAmount)."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto registrato con SKU '@sku' a una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","Il prodotto registrato con SKU '@sku' non é presente nell'ordine originale."
"The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"The configuration has been saved.","La configurazione é stata salvata."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","La classe del controllore '@controller' non fornisce alcun metodo con annotazione 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod'   e un valido output."
"The customer does not finish the payment with in the timeout.","Il cliente non completa il pagamento entro il tempo stabilito."
"The date of birth is required.","È richiesta la data di nascita."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Il formato previsto é '!format' dove per 'MM' si intende il numero del mese e 'YY' il numero dell'anno."
"The gender is required.","Il sesso deve essere specificato."
"The given CVC code has the wrong length.","Il dato codice CVC ha la lunghezza sbagliata."
"The given card number has an invalid check sum.","Il numero della carta fornito ha un checksum non valido."
"The given card number has an invalid length.","Il numero della carta fornito ha una lunghezza non valida."
"The given hmac key is empty.","The given hmac key is empty."
"The given identifier is empty.","The given identifier is empty."
"The given password is empty.","The given password is empty."
"The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"The given site number is empty.","The given site number is empty."
"The identifier as defined in the backoffice of PayPal Plus.","The identifier as defined in the backoffice of PayPal Plus."
"The initial recurring transaction could not be conducted.","La transazione ricorrente iniziale non poteva essere condotta."
"The invoice could not be captured and processed by","Il conto non può essere contabilizzato o trattato da PayPal Plus."
"The invoice could not be captured and processed. Reason:","La fattura non può essere registrata e processata. Causa:"
"The invoice could not be found.","La fattura non é stato trovata."
"The invoice has been changed.","La fattura é stata cambiata."
"The invoice no longer exists.","La fattura non esiste più."
"The layout does not contain the tag '!layout_tag'.","Il layout non contiene il tag '!layout_tag'."
"The next update execution date indicates when the next cron is run to update the transaction state.","La data del prossimo aggiornamento indica quando il prossimo cron é lanciato per aggiornare lo stato della transazione."
"The notification request could not be verified by PayPal.","La richiesta di notifica non può essere verificato da PayPal."
"The notification request could not be verified by PayPal. (Anwser was '!answer').","La richiesta di notifica non può essere verificato da PayPal. (Risposta era '!answer')."
"The order description is shown to the customer on the payment page. The desribtion should describe the products that are sold.","Il riepilogo dell'ordine viene visualizzato al cliente en la pagina di pagamento. Esso dovrebbe contenere una sintesi di tutti i prodotti ordinati."
"The order is not fully completed. Please contact the store owner.","Il pagamento non ha potuto andare a buon fine."
"The payment could not be initialized. Error: @error","The payment could not be initialized. Error: @error"
"The payment form will be displayed after submitting the order.","Il formulario di pagamento sarà mostrato dopo aver effettuato l'ordine."
"The payment has been accepted.","Il pagamento é stato accettato."
"The payment has been denied.","Il pagamento é stato rifiutato."
"The payment method !paymentMethodName does not support the currency '!currency'.","ll metodo di pagamento !paymentMethodName non supporta la moneta '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","Il metodo di pagamento !paymentMethodName non è disponibile nel tuo paese ('!country')."
"The payment update has been made.","L'aggiornamento del pagamento é stato fatto."
"The provided signature does not match with the one calculated.","La firma fornita non corrisponde a quella calcolata."
"The rang (PBX_RANG) as defined in the live backoffice of PayPal Plus. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of PayPal Plus. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"The recurring payment could not be conducted. Error: @error","The recurring payment could not be conducted. Error: @error"
"The recurring payment could not be initialized","Il pagamento ricorrente non poteva essere inizializzato."
"The recurring payment could not be initialized. Error: @error","The recurring payment could not be initialized. Error: @error"
"The recurring transaction could not be conducted.","La transazione ricorrente non poteva essere condotta."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto rimborsato con SKU '@sku' ha una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","Il prodotto rimborsato con SKU '@sku' non é presente nell'ordine originale."
"The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"The shop name is displayed in the payment instructions.","The shop name is displayed in the payment instructions."
"The shopping cart has been altered!","Il carrello é stato modificato!"
"The signature could not be verified.","The signature could not be verified."
"The site id (PBX_RANG) as defined in the backoffice of PayPal Plus.","The site id (PBX_RANG) as defined in the backoffice of PayPal Plus."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","L'importo totale rimborsato (!totalRefundedAmount) non può essere superiore all'importo acquisito (!capturedAmount)."
"The transaction cannot be cancelled online.","Impossibile cancellare la transazione online."
"The transaction cannot be captured online.","Impossibile registrare la transazione online."
"The transaction cannot be refunded online.","Impossibile rimborsare la transazione online."
"The transaction could not be cancelled. Error: @error","The transaction could not be cancelled. Error: @error"
"The transaction could not be captured.","L'operazione non può essere contabilizzato."
"The transaction could not be captured. Error: @error","The transaction could not be captured. Error: @error"
"The transaction could not be conducted.","The transaction could not be conducted."
"The transaction failed with error code !code.","The transaction failed with error code !code."
"The transaction is only executed in the test system. The goods should not be delivered.","La transazione viene eseguita solo nel sistema di test. Le merci non devono essere consegnate."
"The transaction was aborted by the customer.","The transaction was aborted by the customer."
"The whole transaction is cancelled.","L'intera transazione é stata annullata."
"There has been a problem during the processing of your payment.","C'é stato un problema durante l'elaborazione del tuo pagamento."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Si é verificato un problema durante l'elaborazione del pagamento. Si prega di contattare il proprietario del negozio per assicurarsi che il vostro ordine sia stato effettuato con successo."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Si é verificato un problema con la tua licenza. Ti preghiamo di contattarci (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","C'é un problema con la tua licenza. Contattaci (www.sellxed.com/support). Causa : %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Questo indirizzo email é già registrato. Effettua il login o inserisci un nuovo indirizzo email per creare un account."
"There seems to be a problem with the PayPal Plus module.","Sembra esserci un problema con il modulo PayPal Plus."
"There was an error during the initial registration of the payment wall.","There was an error during the initial registration of the payment wall."
"There was an error validating the login and password.","C'è stato un errore durante la convalida del login e password."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Questo account non é confermato. <a href=""%s"">Clicca qui</a> per rimandare l'email di conferma."
"This is a brief instruction of the main and most important installation steps, which need to be performed when installing the PayPal Plus module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","This is a brief instruction of the main and most important installation steps, which need to be performed when installing the PayPal Plus module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip."
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the PayPal Plus account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the PayPal Plus account."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"This status is set, when the payment was successfull and it is authorized.","Questo stato viene impostato, quando il pagamento ha avuto esito positivo ed è stato autorizzato."
"This transaction is already closed for further captures.","Questa transazione é già chiusa."
"This transaction is already closed for further refunds.","Questa transazione é stata chiusa e non sono più possibili rimborsi."
"This transaction no longer exists.","La transazione non esiste più."
"Timeout for pending payments (min)","Timeout per i pagamenti in sospeso"
"Titel","Titolo"
"Title","Title"
"Title of the payment method","Nome del metodo di pagamento"
"Total","Totale"
"Total Shipping Charges","Totale spese di trasporto"
"Track order history","Traccia lo storico dell'ordine"
"Transaction","tbcl_paypalpluscw_transaction_view"
"Transaction Authorized","Transazione autorizzata"
"Transaction Cancelled","Transazione annullata"
"Transaction Captured","Transazione registrata"
"Transaction History","Storico della transazione"
"Transaction Id","Transaction ID"
"Transaction Paid","La transazione é stata pagata"
"Transaction Uncertain","Transazione incerta"
"Transaction Updates","Transaction Updates"
"Transaction cancelled successfully","La transazione é stata annullata con successo."
"Transaction captured successfully","Transazione registrata con successo"
"Transaction execution failed","Transaction execution failed"
"Transaction failed","Transaction failed"
"Transaction failed or cancelled by the customer","Transaction failed or cancelled by the customer"
"Transaction failed with an unkown reason.","Transaction failed with an unkown reason."
"Transaction history","Sintesi delle transazioni"
"Transaction was authorized over the deferred authorization mechanism.","La transazione é stata autorizzata con il meccanismo di autorizzazione differita."
"Transactions","Transazioni"
"US-ASCII","US-ASCII"
"UTF-8","UTF-8"
"Unable to save the invoice.","Impossibile salvare la fattura."
"Unauthorized payment eligible.","Unauthorized payment eligible."
"Uncertain Status","Stato incerto"
"Uncertain transactions","Transazioni incerte"
"Update","Aggiornamento"
"Update Qty's","Regolare la quantità"
"Update interval for payments","Intervallo di aggiornamento per i pagamenti"
"Use Base Currency","Usa valuta di base"
"Use Default","Usare le impostazioni standard"
"Use base currency","Usa la valuta di base"
"VISA","VISA"
"Validation","Validazione"
"Validation Item","Validation Item"
"Version","Versione"
"View","Visualizza"
"Wait On Success Page","Aspetta sulla pagina di successo"
"We cannot get the transaction instance.","Non possiamo stabilire una transazione."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Si é verificato un problema con l'estensione del tuo pagamento sellxed . Per maggiori informazioni, si prega di visitare la pagina di configurazione del PayPal Plus plugin."
"Webhook ID","Webhook ID"
"Webhook Url","Webhook Url"
"Webhooks","Webhooks"
"When the store is not available (network outage, server failure or any other outage), when the feedback of PayPal Plus is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of PayPal Plus is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Quando si utilizza un checkout esterno, può essere chiesto al cliente di scegliere l'opzione di autenticazione (come ospite, registrato o login) oppure può sempre fare il checkout come ospite. Affinché  la seconda opzione funzioni, il checkout come ospite deve essere abilitato in Magento."
"Windows-1250","Windows-1250"
"Windows-1251","Windows-1251"
"Windows-1252","Windows-1252"
"Windows-1253","Windows-1253"
"Windows-1254","Windows-1254"
"Windows-1255","Windows-1255"
"Windows-1256","Windows-1256"
"Windows-1257","Windows-1257"
"Windows-1258","Windows-1258"
"Windows-874","Windows-874"
"With this setting you can disable the check for modifications to the shipping address. If the check is disabled, you have to make sure you deliver your items to the address entered at PayPal Plus, otherwise you will loose your seller protection.","With this setting you can disable the check for modifications to the shipping address. If the check is disabled, you have to make sure you deliver your items to the address entered at PayPal Plus, otherwise you will loose your seller protection."
"Without Seller Protection.","Without Seller Protection."
"Without protection against claims for items not received.","Without protection against claims for items not received."
"Without protection against claims for unauthorized payments.","Without protection against claims for unauthorized payments."
"Year","Anno"
"Yes","Si"
"Yes, use images for the brand selection.","Yes, use images for the brand selection."
"You can allow the customers to manage/delete their aliases in the their account.","Puoi permettere ai clienti di gestire/eliminare il loro alias nel loro account."
"You can decide on the order status new orders should have after they are processed successfully.","Definire lo stato dell'ordine per i nuovi ordini, che sono stati trattati con successo."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definire lo stato dell'ordine per i nuovi ordini che hanno uno status incerto."
"You can select if transaction without full seller protection should be marked as uncertain.","You can select if transaction without full seller protection should be marked as uncertain."
"You can specify the order status for new orders that have an uncertain authorisation status.","Qui è possibile specificare lo stato dell'ordine per i nuovi ordini che hanno uno status di autorizzazione incerto."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Con questa opzione è possibile specificare lo stato per gli ordini che sono o catturati subito dopo l'ordine o manualmente."
"You can specify the order status of Echeck payments for orders that are successful after being in a uncertain state. The status is changed automatically after PayPal sends a notification of the payment.","You can specify the order status of Echeck payments for orders that are successful after being in a uncertain state. The status is changed automatically after PayPal sends a notification of the payment."
"You can specify the order status of payments, which are declined after being pending at PayPal Plus.","You can specify the order status of payments, which are declined after being pending at PayPal Plus."
"You can specify the order status when an order is cancelled.","Qui è possibile specificare lo stato dell'ordine per gli ordini annullati."
"You created the order.","Hai creato questo ordine."
"You have no stored aliases.","Non hai nessun alias memorizzato."
"You have to enter a card number.","SI prega di inserire il numero della carta di credito."
"You have to enter bank code of your bank.","Si prega di inserire il codice delle tua banca"
"You have to enter commercial number of you company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"You have to enter either the CVC code or the issue number of your card.","Si prega di inserire il codice CVC o il numero di emissione della carta."
"You have to enter sales tax number of you company.","SI prega di inserire il numero di partita IVA."
"You have to enter sales tax number of your company.","È necessario inserire il numero di imposta sulle vendite della tua azienda."
"You have to enter the BIC.","Si prega di inserire il BIC della tua banca."
"You have to enter the CVC code from your card.","Si prega di inserire il CVC della carta di credito."
"You have to enter the IBAN.","Si prega di inserire il codice IBAN."
"You have to enter the account holder name on the card.","Si prega di inserire il nome del titolare del conto come scritto sulla carta."
"You have to enter the account holder name.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"You have to enter the card holder name on the card.","Si prega di inserire il nome del proprietario della carta."
"You have to enter the location of your bank.","Si prega di inserire la posizione della banca."
"You have to enter the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"You have to enter the name of your bank.","Si prega di indicare il nome della banca."
"You have to enter your IBAN Number.","Si prega di inserire il codice IBAN."
"You have to enter your bank account number.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"You have to enter your social security number.","Si prega di inserire il numero di sicurezza sociale."
"You may choose one of the cards you paid before on this site.","È possibile scegliere una delle schede usate in precedenza:"
"You may choose one of your stored payment details.","È possibile scegliere uno dei tuoi dati di pagamento memorizzati."
"You will be redirect to the order confirmation page.","Verrai reindirizzato alla pagina di conferma dell'ordine."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Il tuo browser non permette l'esecuzione di JavaScript. Si prega di attivare JavaScript nel tuo browser e ricarica questa pagina."
"Your checkout session expired.","Your checkout session expired."
"Your payment was not successful, please contact the merchant.","Il pagamento non ha avuto successo, si prega di contattare il commerciante."
"Your payment was not successful.","Your payment was not successful."
"PayPalPlusCw Aliases","PayPalPlusCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"PayPal Plus Aliases","PayPal Plus Aliases"
"PayPal Plus Error","Errore di PayPal Plus"
"PayPal Plus Parameters","Impostazioni per PayPal Plus"
"PayPal Plus Refund Items","Articoli rimborsati PayPal Plus"
"PayPal Plus Refund.","PayPal Plus Refund."
"PayPal Plus Section","Sezione PayPal Plus"
"PayPal Plus Transactions","PayPal Plus transazioni"
"PayPal Plus:","PayPal Plus:"
"PayPal Plus: Alias Management","PayPal Plus: Alias Management"
"customweb ltd","customweb SRL"
"no","no"
"or","oppure"
"x-mac-centraleurroman","x-mac-centraleurroman"
"x-mac-cyrillic","x-mac-cyrillic"
"x-mac-greek","x-mac-greek"
"x-mac-turkish","x-mac-turkish"
"yes","yes"
