"!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden.","!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden."
"* Required Fields","* Champs requis"
"Please enter here the sales tax number of your company.","Veuillez insérer ici le numéro de taxe de vente de votre entreprise."
"Please enter here your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"Please enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"Please enter the name of your bank.","Veuillez insérer ici le nom de votre banque."
"Please enter your IBAN number.","Veuillez insérer votre numéro IBAN."
"Please enter your issue number, if there is no CVC code on your card.","Veuillez insérer votre numéro, s'il n'y a pas de code CVC de votre carte."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, veuillez changer la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Veuillez vider votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellXed.</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver le cache et veuillez essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation sur PaymentPage et contactez <a href=""%s"" target=""_blank"">sellxed</a>."
"Please log in below:","Merci de vous identifier:"
"Please select","Sélectionner s'il vous plaît"
"Please select a shipping method before sending the order.","Sélectionnez un mode de livraison avant d'envoyer la commande."
"Please select the Bank Identifier Code (BIC) of your bank.","Veuillez sélectionner le code d'identification de votre banque. (BIC)"
"Please select the day of your birth.","Veuillez sélectionner le jour de votre naissance."
"Please select the expiry month on your card.","Sélectionnez le mois de l'expiration de votre carte"
"Please select the expiry year on your card.","Veuillez insérer la date d'expiration de la carte."
"Please select the month of your birth.","Veuillez sélectionner le mois de votre date de naissance."
"Please select the the year of your birth.","Veuillez  sélectionner l'année de votre date de naissance."
"Please specify the payment method.","Please specify the payment method."
"Please wait, processing your order...","Veuillez patienter, le traitement de votre commande..."
"Please wire the amount of <b>!amount !currency</b> to:<br />","Please wire the amount of <b>!amount !currency</b> to:<br />"
"Possible fraud detected. Currency was invalid.","Fraude possible a été détectée. La devise n'était pas valide."
"Possible fraud detected. Parameters send from PayPal Plus were not correct.","Une fraude possible a été détéctée. Les paramètres envoyés par PayPal Plus n'étaient pas corrèctes."
"Possible fraud detected. Receiver id was invalid.","Fraude possible détecté. ID de Récepteur était invalide."
"Possible fraud detected. Total amount was invalid.","Fraude possible détecté. Le montant total était invalide."
"Possible fraud detected. Total currency was invalid.","Fraude possible détecté. Devise totale était invalide."
"Postal Code entered","Postal Code entered"
"Price","Prix"
"Product","Produit"
"Product Name","Nom du produit"
"Profile Id","Profile Id"
"Profile Name","Profile Name"
"Purchase Point","Lieu d'achat"
"Qty","Quantité"
"Received malformatted response from PayPal Plus","Received malformatted response from PayPal Plus"
"Received malformatted response from PayPal Plus during execution","Received malformatted response from PayPal Plus during execution"
"Received malformatted response from PayPal Plus during registration","Received malformatted response from PayPal Plus during registration"
"Recurring Payments","Paiements récurrents"
"Recurring payment","Paiement périodique"
"Reference","Reference"
"Refund Amount","Montant du remboursement"
"Refund ID","ID de remboursement"
"Refund amount","Montant du remboursement"
"Refund failed with unkown error.","Refund failed with unkown error."
"Refund failed. Error message is: !message.","Remboursement a échoué. Le message d'erreur est: !message."
"Refund information","Information de remboursement"
"Refund status","Statut de remboursement"
"Refunded Amount","Montant du remboursement"
"Refunds","Remboursements"
"Register","Inscrivez-vous"
"Register to Create an Account","S'inscrire pour créer un compte"
"Register with us for future convenience:","Inscrivez-vous chez nous pour plus de commodité dans l'avenir:"
"Release Date","Date de sortie"
"Review","Review"
"Rounding Adjustment","Ajustements d'arrondi"
"Rounding Adjustments","Ajustements d'arrondi"
"Routing Number","Routing Number"
"Row Total","Total de la ligne"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Ventes"
"Sales Tax Number","Numéro de taxe de vente"
"Sandbox API Password","Sandbox API Mot de passe"
"Sandbox API Signature","Sandbox API Signature"
"Sandbox API Username","Sandbox API Nom d'utilisateur"
"Sandbox Business E-Mail Address","Sandbox adresse e-mail business"
"Sandbox Mode","Sandbox Mode"
"Sandbox REST API Client ID","Sandbox REST API Client ID"
"Sandbox REST API Client Secret","Sandbox REST API Client Secret"
"Save","Sauvegarder"
"Saved cards:","Cartes enregistrées:"
"See order and shipping status","Voir le statut de la commande et le statut de livraison"
"Select Brand","Sélectionnez le type de la carte"
"Select Method","Sélectionner la méthode"
"Select the authorization method to use for processing this payment method.","Sélectionnez un mode d'autorisation pour le traitement de ce mode de paiement."
"Select the date of your birth.","Veuillez sélectionner votre date de naissance."
"Select the date on which your card expires.","Séléctionnez la date d'expiration de la carte."
"Seller Protection","Protection de vendeur"
"Send Invoice Email","Envoyer un e-mail avec la facture"
"Send amounts to PayPal Plus in base currency.","Envoyer des montants à  PayPal Plus dans la devise de base."
"Send amounts to PayPal Plus in store's base currency.","Envoyer les montants à PayPal Plus dans la devise de base de la boutique."
"Send invoice email","Envoyer la facture"
"Send the invoice email automatically after invoice creation.","Envoyer l'email de facture automatiquement après la création de la facture."
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Si vous séléctionnez 'Comptabilisation dirècte' le montant sera tout de suite débité de la carte du client. Si vous séléctionnez 'Comptabilisation retardée' le montant sera débité avec un certain temps défini par vous."
"Set here your e-mail address of your live account.","Insérez l'adresse e-mail de votre compte live."
"Set the sort order to show the external checkouts.","Définir l'ordre de montrer les checkouts externes."
"Set up your API access in your PayPal Plus account under My Profile > Further Options > API Access > Show API pass-phrase and copy the details into the main module.","Configurez votre accès API dans votre compte PayPal Plus sous My Profile > Further Options > API Access > Show API passphrase et copiez les détails dans le module principal."
"Settlement after order","Génération après la commande"
"Setup","Setup"
"Shipping & Handling","Livraison"
"Shipping Address","Adresse de livraison"
"Shipping Amount","Montant des frais de livraison"
"Shipping Information","Informations sur la livraison"
"Shipping Method","Mode de livraison"
"Shipping Methods","Modes de livraison"
"Shipping Refund","Remboursement des frais de livraison"
"Shop","Shop"
"Shopname","Shopname"
"Short Installation Instructions:","Instructions d'installation:"
"Should transaction without seller protection marked as uncertain?","Est-ce que vous voulez que les transactions sans protéction de vendeur soient marquées comme incertaines?"
"Show","Voir"
"Show Account Selection","Voir la sélection de compte"
"Show Further Settings and Information","Afficher plus de paramètres et d'informations"
"Show Image","Afficher Image"
"Show Payment Id","Afficher Payment ID"
"Show the payment id","Présenter l'ID de paiement"
"Show the payment id in the order information","Afficher l'ID de paiement dans le bon de commande"
"Show the payment image","Montrer l'image de paiement"
"Show the payment image on the checkout page","Montrer l'image de paiement sur la page de paiement"
"Sign In","Connexion"
"Social Security Number","Numéro de sécurité sociale"
"Sort Order","Ordre De Tri"
"Standard","Standard"
"State entered","State entered"
"Status","Statut"
"Status for Refused ECheck Payments","Statut de paiement ECheck refuse de répondre"
"Status for Successful ECheck Payments","Statut des paiements réussis avec ECheck"
"Status for declined payments","Status for declined payments"
"Store the payment details","Enregistrer les détails de paiement"
"Stored payment details","Détails de paiement enregistrées"
"Street entered","Street entered"
"Submit Order","Confirmer la commande"
"Submitting order information...","Soumission des données de la commande..."
"Subtotal","Sous-total"
"Success","Succès"
"Successful","Succès"
"Successful online refund of amount","Remboursement en ligne réussie de montant"
"Successful payment authorization.","Paiement autorisé"
"Successfull online refund of amount","Remboursement en ligne réussie de montant"
"Support","Support"
"Tax Amount","Montant de l'impôt"
"Technical error please contact the merchant.","Technical error please contact the merchant."
"Technical issue: This payment methods is not available at the moment.","Problème technique: Cette méthode de paiement n'est pas disponible en ce moment."
"Technical problem, please contact the merchant.","Technical problem, please contact the merchant."
"Test Mode","Mode test"
"Test Transaction","Transaction de test"
"The API used to communicate with PayPal Plus. Recurring payments require Express Checkout to be selected.","L'API permet de communiquer avec PayPal Plus. Paiements récurrents nécessitent Express Checkout."
"The Billing Agreement Failed.","L'accord de facturation a échoué."
"The Billing Agreement was not ready.","L'accord de facturation n'était pas prêt."
"The HMAC key as defined in the live backoffice of PayPal Plus. You may need generate the HMAC key. Please take a look at the manual how to do this.","La clé HMAC tel que défini dans le backoffice de production de PayPal Plus. Vous devrez peut-être générer la clé HMAC. Veuillez jeter un coup d'oeil sur le manuel pour savoir comment faire cela."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Le schéma de mandat SEPA ne contient pas le mot-clé '!tag'. Ce mot-clé est obligatoire."
"The alias could not be found.","L'alias na pas été trouvé."
"The alias has been deleted.","L'alias a été supprimé."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","La transaction alias n'a pas pu être réalisée. Code d'erreur: !code et raison: !reason"
"The amount could not be verified.","Le montant n'a pas pu être vérifié."
"The amount of !amount is authorized.","Le montant de !amount est autorisé."
"The amount of !amount is captured.","Le montant de !amount est capturé."
"The authorization method '!method' is not supported.","Le mode d'autorisation '!method' n'est pas accepté."
"The authorization was not successful","Erreur d'autorisation. Autorisation sans succès."
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Le type de la carte de crédit est détecté par le numéro de la carte si une autorisation cachée est utilisé. Si la page de paiement est utilisé, l'utilisateur doit sélectionner la marque. Les marques de cartes de crédit autorisés peuvent être limitées par ce paramètre."
"The brand with external name '!key' was not present in the map.","La marque avec le nom externe '!key' n'était pas présent dans la carte."
"The brand with key '!key' was not found in the card information map.","La marque '!key' n'a pas été trouvée dans les marques disponibles."
"The cancellation could not be conducted. Error code: !error.","L'annulation n'a pas pu être réalisée. Code d'erreur: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Le montant de comptabilisation (!captureAmount) ne peut pas être supérieur au montant autorisé (!authorizedAmount)."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","L'élément de capture avec SKU '@sku' a un montant plus élevé (@amountItem) comme l'élément d'origine (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","L'élément de capture avec SKU '@sku' n'est pas présent dans la commande original."
"The capturing could not be conducted. Error code: !error.","La capture n'a pas pu être réalisée. Code d'erreur: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","La sélection de la marque de la carte se fait automatiquement à partir du numéro de carte inséré. Si Javascript n'est pas actif dans le navigateur, un menu déroulant apparaît. Si JavaScript est activé, les logos de marques peuvent être affichées. Afficher les logos au lieu du menu déroulant?"
"The configuration has been saved.","La configuration a été enregistrée."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Le contrôleur '@controller' ne fournit pas de méthode avec l'annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' et de données valides."
"The customer does not finish the payment with in the timeout.","Le client n'a pas fini le paiement dans le délai imparti."
"The date of birth is required.","La date de naissance doit être indiquée."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Le format doit être '!format' où le 'MM' veut indiquer le numéro du mois et 'AA' le numéro de l'année."
"The gender is required.","Le sexe doit être spécifié."
"The given CVC code has the wrong length.","Le code CVC inséré a une longeur incorecte."
"The given card number has an invalid check sum.","Le numéro de carte donné a une somme de contrôle invalide."
"The given card number has an invalid length.","Le numéro de carte inséré a une longueur invalide."
"The given hmac key is empty.","La clé HMAC donnée est vide."
"The given identifier is empty.","L'identificateur donné est vide."
"The given password is empty.","Le mot de passe donné est vide."
"The given rang is empty. It must be a nummeric value with length of two.","Le champ 'rang' donné est vide. Il doit être une valeur nummerique avec une longueur de deux."
"The given rang is invalid. It must be a nummeric value with length of two.","Le champ 'rang' n'est pas valide. Il doit être une valeur numérique avec une longueur de deux."
"The given site number is empty.","Le nombre de site donné est vide."
"The identifier as defined in the backoffice of PayPal Plus.","L'identifiant tel que défini dans le backoffice de PayPal Plus."
"The initial recurring transaction could not be conducted.","La transaction récurrente initiale n'a pu être réalisé."
"The invoice could not be captured and processed by","La facture n'a pas pu être comptabilisée et traitée par PayPal Plus."
"The invoice could not be captured and processed. Reason:","La facture n'a pas pu être capturée et traitée. Raison:"
"The invoice could not be found.","La facture n'a pas été trouvée."
"The invoice has been changed.","La facture a été changé."
"The invoice no longer exists.","La facture n'existe plus."
"The layout does not contain the tag '!layout_tag'.","Le layout ne contient pas le mot-clé '!layout_tag'."
"The next update execution date indicates when the next cron is run to update the transaction state.","La prochaine date d'exécution de mise à jour indique lorsque le cron suivant sera exécuté pour mettre à jour l'état de la transaction."
"The notification request could not be verified by PayPal.","La demande de notification n'a pas pû être vérifiée par PayPal"
"The notification request could not be verified by PayPal. (Anwser was '!answer').","La demande de notification n'a pas pu être vérifiée par PayPal. (Réponse: '!answer')."
"The order description is shown to the customer on the payment page. The desribtion should describe the products that are sold.","La description de la commande est indiquée au client sur la page de paiement. La description devrait décrire les produits qui sont vendus."
"The order is not fully completed. Please contact the store owner.","Le paiement ne peut être effectué."
"The payment could not be initialized. Error: @error","Le paiement n'a pas pu être initialisé. Erreur: @error"
"The payment form will be displayed after submitting the order.","La forme de paiement sera affichée après avoir confirmé la commande."
"The payment has been accepted.","Le paiement a été accepté"
"The payment has been denied.","Le paiement a été refusé."
"The payment method !paymentMethodName does not support the currency '!currency'.","La méthode de paiement !paymentMethodName ne supporte pas la devise '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","La méthode de paiement !paymentMethodName n'est pas disponible dans votre pays ('!country')."
"The payment update has been made.","La mise à jour de paiement a été effectué."
"The provided signature does not match with the one calculated.","La signature fournie ne correspond pas à celle calculée."
"The rang (PBX_RANG) as defined in the live backoffice of PayPal Plus. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Le champ 'rang' (PBX_RANG) tel que défini dans le backoffice de production de PayPal Plus. Il doit être nummeric avec deux caractères de long. Dans le backoffice il peut être affiché comme trois caractères. Vous devez tronquer le premier chiffre."
"The recurring payment could not be conducted. Error: @error","Le paiement périodique n'a pas pu être réalisé. Erreur: @error"
"The recurring payment could not be initialized","Le paiement récurrent n'a pas pu être initialisé."
"The recurring payment could not be initialized. Error: @error","Le paiement périodique n'a pas pu être initialisé. Erreur: @error"
"The recurring transaction could not be conducted.","La transaction récurrente n'a pas pu être réalisée."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","L'article de remboursement avec SKU '@sku' a un montant plus élevé (@amountItem) comme l'article d'origine (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","L'article de remboursement avec SKU '@sku' n'est pas présent dans la commande originale."
"The refunding could not be conducted. Error code: !error.","Le remboursement n'a pas pu être réalisé. Code d'erreur: !error."
"The shop name is displayed in the payment instructions.","The shop name is displayed in the payment instructions."
"The shopping cart has been altered!","Le panier a été changé!"
"The signature could not be verified.","La signature ne peut pas être vérifiée."
"The site id (PBX_RANG) as defined in the backoffice of PayPal Plus.","L'identifiant du site (PBX_RANG) tel que défini dans le backoffice de PayPal Plus."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Le montant total du remboursement (!totalRefundedAmount) ne peut pas être supérieur à la quantité capturée (!capturedAmount)."
"The transaction cannot be cancelled online.","La transaction ne peut être annulée en ligne."
"The transaction cannot be captured online.","La transaction ne peut être capturée en ligne"
"The transaction cannot be refunded online.","La transaction ne peut être remboursé en ligne."
"The transaction could not be cancelled. Error: @error","La transaction n'a pas pu être annulée. Erreur: @error"
"The transaction could not be captured.","La transaction n'a pas pû être comptabilisé."
"The transaction could not be captured. Error: @error","La transaction ne peut pas être capturée. Erreur: @error"
"The transaction could not be conducted.","L'opération n'a pas pu être effectuée."
"The transaction failed with error code !code.","L'opération a échoué avec le code d'erreur: !code."
"The transaction is only executed in the test system. The goods should not be delivered.","La transaction a est exécutée uniquement dans le système de test. Les produits ne doivent pas être livrés."
"The transaction was aborted by the customer.","The transaction was aborted by the customer."
"The whole transaction is cancelled.","Toute la transaction a été annulée."
"There has been a problem during the processing of your payment.","Il y a eu un problème lors du traitement de votre paiement."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Il ya eu un problème lors du traitement de votre paiement. Veuillez contacter le propriétaire de la boutique pour vous assurer que votre commande a été placée avec succès."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Il y a un problème avec votre licence. S'il vous plaît nous (www.sellxed.com/support) contacter. Raison: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","Il y a un problème avec votre licence. S'il vous plaît contactez-nous (www.sellxed.com/support). Raison: %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Il y a déjà un client enregistré avec cette adresse e-mail. Connectez-vous à l'aide de cette adresse ou insérez une adresse e-mail différente pour l'enregistrer votre compte."
"There seems to be a problem with the PayPal Plus module.","Il semble avoir un problème avec le module de PayPal Plus."
"There was an error during the initial registration of the payment wall.","There was an error during the initial registration of the payment wall."
"There was an error validating the login and password.","ll y eu une erreur pendant la validation du login et du mot de passe."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ce compte n'est pas confirmé. <a href=""%s"">Cliquez ici</a> pour renvoyer l'email de confirmation."
"This is a brief instruction of the main and most important installation steps, which need to be performed when installing the PayPal Plus module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","Ceci est une brève instruction des étapes de l'installation, qui doivent être effectuées lors de l'installation du module PayPal Plus. Pour obtenir des instructions détaillées concernant les paramètres supplémentaires et optionnels, veuillez vous référer aux instructions dans le zip du module."
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the PayPal Plus account.","Ce mot de passe est utilisé pour les paiements récurrents et pour la gestion des alias, ainsi que pour l'autorisation du serveur. C'est le mot de passe du compte PayPal Plus."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Ce setting peut être utilisé pour activer ou désactiver le contrôle 3D Secure. Veuillez vérifier avec PayBox si vous êtes autorisé à désactiver le contrôle 3D Secure. Ce paramètre aura seulement un effet que si vous utilisez la page de paiement."
"This status is set, when the payment was successfull and it is authorized.","Cet état est défini, lorsque le paiement a été un succès et il est autorisé."
"This transaction is already closed for further captures.","Cette transaction a déjà été fermée pour plus de comptabilisations."
"This transaction is already closed for further refunds.","Cette transaction a déjà été fermée pour d'autres remboursements."
"This transaction no longer exists.","Cette transaction n'existe plus."
"Timeout for pending payments (min)","Timout pour les paiements en attente (min.)"
"Titel","Titre"
"Title","Titre"
"Title of the payment method","Nom de la méthode de paiement"
"Total","Total"
"Total Shipping Charges","Total des frais d'expédition"
"Track order history","Suivi de la commande"
"Transaction","Transaction"
"Transaction Authorized","Transaction autorisée"
"Transaction Cancelled","Transaction annulée"
"Transaction Captured","Transaction comptabilisée"
"Transaction History","Relevé des opérations"
"Transaction Id","Transaction ID"
"Transaction Paid","Transacion payée"
"Transaction Uncertain","La transaction est incertaine"
"Transaction Updates","Mises à jour pour les transactions"
"Transaction cancelled successfully","La transaction a été annulée"
"Transaction captured successfully","Transaction capturé avec succès"
"Transaction execution failed","Transaction execution failed"
"Transaction failed","Transaction failed"
"Transaction failed or cancelled by the customer","Transaction failed or cancelled by the customer"
"Transaction failed with an unkown reason.","Transaction failed with an unkown reason."
"Transaction history","Historique de transactions"
"Transaction was authorized over the deferred authorization mechanism.","L'opération a été autorisée avec le mécanisme d'autorisation différé."
"Transactions","Transactions"
"US-ASCII","US-ASCII"
"UTF-8","UTF-8"
"Unable to save the invoice.","Impossible d'enregistrer la facture."
"Unauthorized payment eligible.","Unauthorized payment eligible."
"Uncertain Status","Statut incertain"
"Uncertain transactions","Transactions incertaines"
"Update","Mettre à jour"
"Update Qty's","Ajuster la quantité"
"Update interval for payments","Interval de l'actualisation pour paiements via API"
"Use Base Currency","Utiliser devise de base"
"Use Default","Utilisez les paramètres standard"
"Use base currency","Utiliser la devise de base"
"VISA","VISA"
"Validation","Valider"
"Validation Item","Article de validation"
"Version","Version"
"View","Afficher"
"Wait On Success Page","Attendre sur la page de la réussite"
"We cannot get the transaction instance.","Nous ne pouvons pas établir une transaction."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Il y a un problème avec votre module de paiement sellxed. Pour plus d'informations, veuillez visiter la page d'informations du plugin."
"Webhook ID","Webhook ID"
"Webhook Url","Webhook Url"
"Webhooks","Webhooks"
"When the store is not available (network outage, server failure or any other outage), when the feedback of PayPal Plus is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Lorsque la boutique n'est pas disponible (panne de réseau, une panne de serveur ou de toute autre panne), après le retour de PayPal Plus envoyé,  le statut de la transaction ne sera pas mis à jour. Par conséquent, aucune confirmation de commande sera envoyé par e-mail et la commande n'aura pas le statut payé. En activant la mise à jour de la transaction, ces opérations peuvent être autorisées plus tard sur la liaison directe. Pour utiliser cette fonction, le service de mise à jour doit être activé et le nom d'utilisateur de l'API et le mot de passe de l'API doit être aussi configuré."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Lorsque vous utilisez une commande externe, le client peut soit sélectionner une option d'authentification (en tant qu'invité, inscription ou login) ou il peut toujours être vérifié en tant qu'invité. Pour la deuxième option, guest checkout doit être activé chez Magento."
"Windows-1250","Windows-1250"
"Windows-1251","Windows-1251"
"Windows-1252","Windows-1252"
"Windows-1253","Windows-1253"
"Windows-1254","Windows-1254"
"Windows-1255","Windows-1255"
"Windows-1256","Windows-1256"
"Windows-1257","Windows-1257"
"Windows-1258","Windows-1258"
"Windows-874","Windows-874"
"With this setting you can disable the check for modifications to the shipping address. If the check is disabled, you have to make sure you deliver your items to the address entered at PayPal Plus, otherwise you will loose your seller protection.","With this setting you can disable the check for modifications to the shipping address. If the check is disabled, you have to make sure you deliver your items to the address entered at PayPal Plus, otherwise you will loose your seller protection."
"Without Seller Protection.","Without Seller Protection."
"Without protection against claims for items not received.","Without protection against claims for items not received."
"Without protection against claims for unauthorized payments.","Without protection against claims for unauthorized payments."
"Year","Année"
"Yes","Oui"
"Yes, use images for the brand selection.","Oui, utiliser des images pour la sélection du type."
"You can allow the customers to manage/delete their aliases in the their account.","Vous pouvez permettre aux clients de gérer / supprimer leurs alias dans leur compte."
"You can decide on the order status new orders should have after they are processed successfully.","Spécifiez le statut de la commande pour les nouvelles commandes qui ont été traitées avec succès."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Spécifiez le statut de la commande pour les nouvelles commandes avec un statut d'autorisation incertain."
"You can select if transaction without full seller protection should be marked as uncertain.","You can select if transaction without full seller protection should be marked as uncertain."
"You can specify the order status for new orders that have an uncertain authorisation status.","Vous pouvez spécifier le statut de la commande pour les nouvelles commandes qui ont un statut d'autorisation incertain."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Vous pouvez spécifier le statut de la commande pour les commandes qui sont capturés soit directement après la commande ou manuellement depuis le backend."
"You can specify the order status of Echeck payments for orders that are successful after being in a uncertain state. The status is changed automatically after PayPal sends a notification of the payment.","Vous pouvez spécifier le statut de la commande de paiement Echeck pour les commandes qui ont du succès après avoir été dans un statut incertain. Le statut sera modifié automatiquement après que PayPal envoie une notification de paiement."
"You can specify the order status of payments, which are declined after being pending at PayPal Plus.","You can specify the order status of payments, which are declined after being pending at PayPal Plus."
"You can specify the order status when an order is cancelled.","Vous pouvez spécifier le statut de la commande quand une commande est annulée."
"You created the order.","Vous avez créé la commande."
"You have no stored aliases.","Vous n'avez pas d'alias."
"You have to enter a card number.","Vous devez insérer le numéro de carte."
"You have to enter bank code of your bank.","Il faut insérer le code banquaire de votre banque."
"You have to enter commercial number of you company.","Il faut insérer le numéro de commerce de votre entreprise."
"You have to enter either the CVC code or the issue number of your card.","Vous devez insérer le code CVC ou le numéro de série de votre carte."
"You have to enter sales tax number of you company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"You have to enter sales tax number of your company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"You have to enter the BIC.","Vous devez saisir le code BIC."
"You have to enter the CVC code from your card.","Vous devez insérer le code CVC de votre carte."
"You have to enter the IBAN.","Il faut insérer l'IBAN du compte banquaire"
"You have to enter the account holder name on the card.","Vous devez insérer le nom du titulaire de la carte."
"You have to enter the account holder name.","Veuillez insérer ici le nom du titulaire de la carte."
"You have to enter the card holder name on the card.","Vous devez insérer le titulaire de la carte."
"You have to enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"You have to enter the name of the account owner.","Vous devez insérer le titulaire de compte"
"You have to enter the name of your bank.","Vous devez insérer le nom de votre banque."
"You have to enter your IBAN Number.","Il faut insérer l'IBAN du compte banquaire"
"You have to enter your bank account number.","Veuillez insérer l'IBAN de votre compte banquaire."
"You have to enter your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"You may choose one of the cards you paid before on this site.","Vous pouvez choisir parmi les cartes utilisées précédemment:"
"You may choose one of your stored payment details.","Sélectionnez l'une des informations de paiement enregistrées pour le paiement"
"You will be redirect to the order confirmation page.","Vous allez être redirigé vers la page de confirmation de commande."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Votre navigateur ne permet pas l'exécution de JavaScript. Veuillez activer JavaScript dans votre navigateur et recharger cette page."
"Your checkout session expired.","Your checkout session expired."
"Your payment was not successful, please contact the merchant.","Votre paiement n'a pas réussi, veuillez contacter le marchand."
"Your payment was not successful.","Votre paiement n'a pas réussi."
"PayPalPlusCw Aliases","PayPalPlusCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"PayPal Plus","PayPal Plus"
"PayPal Plus Aliases","Alias PayPal Plus"
"PayPal Plus Error","Erreur de PayPal Plus"
"PayPal Plus Parameters","PayPal Plus Paramètres"
"PayPal Plus Refund Items","PayPal Plus _ remboursement articles"
"PayPal Plus Refund.","Remboursement de PayPal Plus"
"PayPal Plus Section","Section PayPal Plus"
"PayPal Plus Transactions","Transactions de PayPal Plus"
"PayPal Plus: Alias Management","PayPal Plus: Gestion des Alias"
"customweb ltd","customweb ltd"
"no","no"
"or","ou"
"x-mac-centraleurroman","x-mac-centraleurroman"
"x-mac-cyrillic","x-mac-cyrillic"
"x-mac-greek","x-mac-greek"
"x-mac-turkish","x-mac-turkish"
"yes","Oui"
